author,quote,no_stopwords,lemmatized,stemmed
Ambrose Gwinett Bierce,"ADAGE, n. Boned wisdom for weak teeth.",ADAGE n Boned wisdom weak teeth,ADAGE n Boned wisdom weak teeth,adag n bone wisdom weak teeth
Ambrose Gwinett Bierce,"APHORISM, n. Predigested wisdom.",APHORISM n Predigested wisdom,APHORISM n Predigested wisdom,aphor n predigest wisdom
Ambrose Gwinett Bierce,"IMPUNITY, n. Wealth.",IMPUNITY n Wealth,IMPUNITY n Wealth,impun n wealth
Ambrose Gwinett Bierce,"CYNIC, n. A blackguard whose faulty vision sees things as they are, not as they ought to be. Hence the custom among the Scythians of plucking out a cynic's eyes to improve his vision.",CYNIC n blackguard whose faulty vision sees things ought Hence custom among Scythians plucking cynic eyes improve vision,CYNIC n blackguard whose faulty vision see thing ought Hence custom among Scythians pluck cynic eye improve vision,cynic n blackguard whose faulti vision see thing ought henc custom among scythian pluck cynic eye improv vision
Ambrose Gwinett Bierce,"PROPERTY, n. Any material thing, having no particular value, that may be held by A against the cupidity of B. Whatever gratifies the passion for possession in one and disappoints it in all others. The object of man's brief rapacity and long indifference.",PROPERTY n material thing particular value may held cupidity B Whatever gratifies passion possession one disappoints others object man brief rapacity long indifference,PROPERTY n material thing particular value may hold cupidity B Whatever gratify passion possession one disappoint others object man brief rapacity long indifference,properti n materi thing particular valu may hold cupid b whatev gratifi passion possess one disappoint other object man brief rapac long indiffer
Ambrose Gwinett Bierce,"MAGNITUDE, n. Size. Magnitude being purely relative, nothing is large and nothing small. If everything in the universe were increased in bulk one thousand diameters nothing would be any larger than it was before, but if one thing remain unchanged all the others would be larger than they had been. To an understanding familiar with the relativity of magnitude and distance the spaces and masses of the astronomer would be no more impressive than those of the microscopist. For anything we know to the contrary, the visible universe may be a small part of an atom, with its component ions, floating in the life- fluid (luminiferous ether) of some animal. Possibly the wee creatures peopling the corpuscles of our own blood are overcome with the proper emotion when contemplating the unthinkable distance from one of these to another.",MAGNITUDE n Size Magnitude purely relative nothing large nothing small everything universe increased bulk one thousand diameters nothing would larger one thing remain unchanged others would larger understanding familiar relativity magnitude distance spaces masses astronomer would impressive microscopist anything know contrary visible universe may small part atom component ions floating life fluid luminiferous ether animal Possibly wee creatures peopling corpuscles blood overcome proper emotion contemplating unthinkable distance one another,MAGNITUDE n Size Magnitude purely relative nothing large nothing small everything universe increase bulk one thousand diameter nothing would large one thing remain unchanged others would large understand familiar relativity magnitude distance space mass astronomer would impressive microscopist anything know contrary visible universe may small part atom component ion float life fluid luminiferous ether animal Possibly wee creature people corpuscle blood overcome proper emotion contemplate unthinkable distance one another,magnitud n size magnitud pure relat noth larg noth small everyth univers increas bulk one thousand diamet noth would larg one thing remain unchang other would larg understand familiar relat magnitud distanc space mass astronom would impress microscopist anyth know contrari visibl univers may small part atom compon ion float life fluid luminifer ether anim possibl wee creatur peopl corpuscl blood overcom proper emot contempl unthink distanc one anoth
Ambrose Gwinett Bierce,"UNDERSTANDING, n. A cerebral secretion that enables one having it to know a house from a horse by the roof on the house. Its nature and laws have been exhaustively expounded by Locke, who rode a house, and Kant, who lived in a horse.His understanding was so keen That all things which he'd felt, heard, seen, He could interpret without fail If he was in or out of jail. He wrote at Inspiration's call Deep disquisitions on them all, Then, pent at last in an asylum, Performed the service to compile 'em. So great a writer, all men swore, They never had not read before. --Jorrock Wormley",UNDERSTANDING n cerebral secretion enables one know house horse roof house nature laws exhaustively expounded Locke rode house Kant lived horse understanding keen things felt heard seen could interpret without fail jail wrote Inspiration call Deep disquisitions pent last asylum Performed service compile em great writer men swore never read Jorrock Wormley,UNDERSTANDING n cerebral secretion enable one know house horse roof house nature law exhaustively expound Locke ride house Kant live horse understand keen thing felt hear see could interpret without fail jail write Inspiration call Deep disquisition pen last asylum Performed service compile em great writer men swear never read Jorrock Wormley,understand n cerebr secret enabl one know hous hors roof hous natur law exhaust expound lock ride hous kant live hors understand keen thing felt hear see could interpret without fail jail write inspir call deep disquisit pen last asylum perform servic compil em great writer men swear never read jorrock wormley
Ambrose Gwinett Bierce,"JEWS-HARP, n. An unmusical instrument, played by holding it fast with the teeth and trying to brush it away with the finger.",JEWS HARP n unmusical instrument played holding fast teeth trying brush away finger,JEWS HARP n unmusical instrument play hold fast teeth try brush away finger,jew harp n unmus instrument play hold fast teeth tri brush away finger
Ambrose Gwinett Bierce,"REPORTER, n. A writer who guesses his way to the truth and dispels it with a tempest of words.More dear than all my bosom knows, O thou Whose 'lips are sealed' and will not disavow! So sang the blithe reporter-man as grew Beneath his hand the leg-long interview. --Barson Maith",REPORTER n writer guesses way truth dispels tempest words dear bosom knows thou Whose lips sealed disavow sang blithe reporter man grew Beneath hand leg long interview Barson Maith,REPORTER n writer guess way truth dispel tempest word dear bosom know thou Whose lip seal disavow sing blithe reporter man grow Beneath hand leg long interview Barson Maith,report n writer guess way truth dispel tempest word dear bosom know thou whose lip seal disavow sing blith report man grow beneath hand leg long interview barson maith
Ambrose Gwinett Bierce,"RICH, adj. Holding in trust and subject to an accounting the property of the indolent, the incompetent, the unthrifty, the envious and the luckless. That is the view that prevails in the underworld, where the Brotherhood of Man finds its most logical development and candid advocacy. To denizens of the midworld the word means good and wise.",RICH adj Holding trust subject accounting property indolent incompetent unthrifty envious luckless view prevails underworld Brotherhood Man finds logical development candid advocacy denizens midworld word means good wise,RICH adj Holding trust subject account property indolent incompetent unthrifty envious luckless view prevail underworld Brotherhood Man find logical development candid advocacy denizen midworld word mean good wise,rich adj hold trust subject account properti indol incompet unthrifti envious luckless view prevail underworld brotherhood man find logic develop candid advocaci denizen midworld word mean good wise
Ambrose Gwinett Bierce,Think twice before you speak to a friend in need.,Think twice speak friend need,Think twice speak friend need,think twice speak friend need
Ambrose Gwinett Bierce,"RASCALITY, n. Stupidity militant. The activity of a clouded intellect.",RASCALITY n Stupidity militant activity clouded intellect,RASCALITY n Stupidity militant activity cloud intellect,rascal n stupid milit activ cloud intellect
Ambrose Gwinett Bierce,"GRAVITATION, n. The tendency of all bodies to approach one another with a strength proportion to the quantity of matter they contain --the quantity of matter they contain being ascertained by the strength of their tendency to approach one another. This is a lovely and edifying illustration of how science, having made A the proof of B, makes B the proof of A.",GRAVITATION n tendency bodies approach one another strength proportion quantity matter contain quantity matter contain ascertained strength tendency approach one another lovely edifying illustration science made proof B makes B proof,GRAVITATION n tendency body approach one another strength proportion quantity matter contain quantity matter contain ascertain strength tendency approach one another lovely edify illustration science make proof B make B proof,gravit n tendenc bodi approach one anoth strength proport quantiti matter contain quantiti matter contain ascertain strength tendenc approach one anoth love edifi illustr scienc make proof b make b proof
Ambrose Gwinett Bierce,"HARANGUE, n. A speech by an opponent, who is known as an harrangue- outang.",HARANGUE n speech opponent known harrangue outang,HARANGUE n speech opponent know harrangue outang,harangu n speech oppon know harrangu outang
Ambrose Gwinett Bierce,"RAREBIT, n. A Welsh rabbit, in the speech of the humorless, who point out that it is not a rabbit. To whom it may be solemnly explained that the comestible known as toad-in-a-hole is really not a toad, and that _riz-de-veau a la financiere_ is not the smile of a calf prepared after the recipe of a she banker.",RAREBIT n Welsh rabbit speech humorless point rabbit may solemnly explained comestible known toad hole really toad _riz de veau la financiere_ smile calf prepared recipe banker,RAREBIT n Welsh rabbit speech humorless point rabbit may solemnly explain comestible know toad hole really toad _riz de veau la financiere_ smile calf prepare recipe banker,rarebit n welsh rabbit speech humorless point rabbit may solemn explain comest know toad hole realli toad _riz de veau la financiere_ smile calf prepar recip banker
Ambrose Gwinett Bierce,"ADMONITION, n. Gentle reproof, as with a meat-axe. Friendly warning.Consigned by way of admonition, His soul forever to perdition. --Judibras",ADMONITION n Gentle reproof meat axe Friendly warning Consigned way admonition soul forever perdition Judibras,ADMONITION n Gentle reproof meat axe Friendly warn Consigned way admonition soul forever perdition Judibras,admonit n gentl reproof meat axe friend warn consign way admonit soul forev perdit judibra
Ambrose Gwinett Bierce,"MUSTANG, n. An indocile horse of the western plains. In English society, the American wife of an English nobleman.",MUSTANG n indocile horse western plains English society American wife English nobleman,MUSTANG n indocile horse western plain English society American wife English nobleman,mustang n indocil hors western plain english societi american wife english nobleman
Ambrose Gwinett Bierce,"SELF-EVIDENT, adj. Evident to one's self and to nobody else.",SELF EVIDENT adj Evident one self nobody else,SELF EVIDENT adj Evident one self nobody else,self evid adj evid one self nobodi els
Ambrose Gwinett Bierce,"CONFIDANT, CONFIDANTE, n. One entrusted by A with the secrets of B, confided by him to C.",CONFIDANT CONFIDANTE n One entrusted secrets B confided C,CONFIDANT CONFIDANTE n One entrust secret B confide C,confid confidant n one entrust secret b confid c
Ambrose Gwinett Bierce,Confidante. One entrusted by A with the secrets of B confided to herself by C.,Confidante One entrusted secrets B confided C,Confidante One entrust secret B confide C,confidant one entrust secret b confid c
Ambrose Gwinett Bierce,"ORTHOGRAPHY, n. The science of spelling by the eye instead of the ear. Advocated with more heat than light by the outmates of every asylum for the insane. They have had to concede a few things since the time of Chaucer, but are none the less hot in defence of those to be conceded hereafter.A spelling reformer indicted For fudge was before the court cicted. The judge said: Enough -- His candle we'll snough, And his sepulchre shall not be whicted.",ORTHOGRAPHY n science spelling eye instead ear Advocated heat light outmates every asylum insane concede things since time Chaucer none less hot defence conceded hereafter spelling reformer indicted fudge court cicted judge said Enough candle snough sepulchre shall whicted,ORTHOGRAPHY n science spell eye instead ear Advocated heat light outmates every asylum insane concede thing since time Chaucer none le hot defence concede hereafter spell reformer indict fudge court cicted judge say Enough candle snough sepulchre shall whicted,orthographi n scienc spell eye instead ear advoc heat light outmat everi asylum insan conced thing sinc time chaucer none le hot defenc conced hereaft spell reform indict fudg court cict judg say enough candl snough sepulchr shall whict
Ambrose Gwinett Bierce,"BOTANY, n. The science of vegetables --those that are not good to eat, as well as those that are. It deals largely with their flowers, which are commonly badly designed, inartistic in color, and ill- smelling.",BOTANY n science vegetables good eat well deals largely flowers commonly badly designed inartistic color ill smelling,BOTANY n science vegetable good eat well deal largely flower commonly badly design inartistic color ill smell,botani n scienc veget good eat well deal larg flower common bad design inartist color ill smell
Ambrose Gwinett Bierce,"ORTHOGRAPHY, n. The science of spelling by the eye instead of the ear. Advocated with more heat than light by the outmates of every asylum for the insane. They have had to concede a few things since the time of Chaucer, but are none the less hot in defence of those to be conceded hereafter.A spelling reformer indicted For fudge was before the court cicted. The judge said: Enough -- His candle we'll snough, And his sepulchre shall not be whicted.",ORTHOGRAPHY n science spelling eye instead ear Advocated heat light outmates every asylum insane concede things since time Chaucer none less hot defence conceded hereafter spelling reformer indicted fudge court cicted judge said Enough candle snough sepulchre shall whicted,ORTHOGRAPHY n science spell eye instead ear Advocated heat light outmates every asylum insane concede thing since time Chaucer none le hot defence concede hereafter spell reformer indict fudge court cicted judge say Enough candle snough sepulchre shall whicted,orthographi n scienc spell eye instead ear advoc heat light outmat everi asylum insan conced thing sinc time chaucer none le hot defenc conced hereaft spell reform indict fudg court cict judg say enough candl snough sepulchr shall whict
Ambrose Gwinett Bierce,"PHRENOLOGY, n. The science of picking the pocket through the scalp. It consists in locating and exploiting the organ that one is a dupe with.",PHRENOLOGY n science picking pocket scalp consists locating exploiting organ one dupe,PHRENOLOGY n science pick pocket scalp consist locate exploit organ one dupe,phrenolog n scienc pick pocket scalp consist locat exploit organ one dupe
Ambrose Gwinett Bierce,"CANNIBAL, n. A gastronome of the old school who preserves the simple tastes and adheres to the natural diet of the pre-pork period.",CANNIBAL n gastronome old school preserves simple tastes adheres natural diet pre pork period,CANNIBAL n gastronome old school preserve simple taste adhere natural diet pre pork period,cannib n gastronom old school preserv simpl tast adher natur diet pre pork period
Ambrose Gwinett Bierce,Revolution is an abrupt change in the form of misgovernment.,Revolution abrupt change form misgovernment,Revolution abrupt change form misgovernment,revolut abrupt chang form misgovern
Ambrose Gwinett Bierce,"OBLIVION, n. The state or condition in which the wicked cease from struggling and the dreary are at rest. Fame's eternal dumping ground. Cold storage for high hopes. A place where ambitious authors meet their works without pride and their betters without envy. A dormitory without an alarm clock.",OBLIVION n state condition wicked cease struggling dreary rest Fame eternal dumping ground Cold storage high hopes place ambitious authors meet works without pride betters without envy dormitory without alarm clock,OBLIVION n state condition wicked cease struggle dreary rest Fame eternal dump grind Cold storage high hop place ambitious author meet work without pride good without envy dormitory without alarm clock,oblivion n state condit wick ceas struggl dreari rest fame etern dump grind cold storag high hop place ambiti author meet work without pride good without envi dormitori without alarm clock
Ambrose Gwinett Bierce,"REALITY, n. The dream of a mad philosopher. That which would remain in the cupel if one should assay a phantom. The nucleus of a vacuum.",REALITY n dream mad philosopher would remain cupel one assay phantom nucleus vacuum,REALITY n dream mad philosopher would remain cupel one assay phantom nucleus vacuum,realiti n dream mad philosoph would remain cupel one assay phantom nucleus vacuum
Ambrose Gwinett Bierce,"DEAD, adj.Done with the work of breathing; done With all the world; the mad race run Though to the end; the golden goal Attained and found to be a hole! --Squatol Johnes",DEAD adj Done work breathing done world mad race run Though end golden goal Attained found hole Squatol Johnes,DEAD adj Done work breathe do world mad race run Though end golden goal Attained find hole Squatol Johnes,dead adj done work breath do world mad race run though end golden goal attain find hole squatol john
Ambrose Gwinett Bierce,The act of repeating erroneously the words of another.,act repeating erroneously words another,act repeat erroneously word another,act repeat erron word anoth
Ambrose Gwinett Bierce,Perfection is an imaginary state of quality distinguished from the actual by an element known as excellence; an attribute of the critic.,Perfection imaginary state quality distinguished actual element known excellence attribute critic,Perfection imaginary state quality distinguish actual element know excellence attribute critic,perfect imaginari state qualiti distinguish actual element know excel attribut critic
Ambrose Gwinett Bierce,"RECONCILIATION, n. A suspension of hostilities. An armed truce for the purpose of digging up the dead.",RECONCILIATION n suspension hostilities armed truce purpose digging dead,RECONCILIATION n suspension hostility arm truce purpose dig dead,reconcili n suspens hostil arm truce purpos dig dead
Ambrose Gwinett Bierce,"PLAGUE, n. In ancient times a general punishment of the innocent for admonition of their ruler, as in the familiar instance of Pharaoh the Immune. The plague as we of to-day have the happiness to know it is merely Nature's fortuitous manifestation of her purposeless objectionableness.",PLAGUE n ancient times general punishment innocent admonition ruler familiar instance Pharaoh Immune plague day happiness know merely Nature fortuitous manifestation purposeless objectionableness,PLAGUE n ancient time general punishment innocent admonition ruler familiar instance Pharaoh Immune plague day happiness know merely Nature fortuitous manifestation purposeless objectionableness,plagu n ancient time general punish innoc admonit ruler familiar instanc pharaoh immun plagu day happi know mere natur fortuit manifest purposeless objection
Ambrose Gwinett Bierce,"PENITENT, adj. Undergoing or awaiting punishment.",PENITENT adj Undergoing awaiting punishment,PENITENT adj Undergoing await punishment,penit adj undergo await punish
Ambrose Gwinett Bierce,"OBLIVION, n. Cold storage for high hopes. A place where ambitious authors meet their works without pride and their betters without envy. A dormitory without an alarm clock.",OBLIVION n Cold storage high hopes place ambitious authors meet works without pride betters without envy dormitory without alarm clock,OBLIVION n Cold storage high hop place ambitious author meet work without pride good without envy dormitory without alarm clock,oblivion n cold storag high hop place ambiti author meet work without pride good without envi dormitori without alarm clock
Ambrose Gwinett Bierce,A prejudice is a vagrant opinion without visible means of support.,prejudice vagrant opinion without visible means support,prejudice vagrant opinion without visible mean support,prejudic vagrant opinion without visibl mean support
Ambrose Gwinett Bierce,"PREJUDICE, n. A vagrant opinion without visible means of support.",PREJUDICE n vagrant opinion without visible means support,PREJUDICE n vagrant opinion without visible mean support,prejudic n vagrant opinion without visibl mean support
Ambrose Gwinett Bierce,"REASON, n. Propensitate of prejudice.",REASON n Propensitate prejudice,REASON n Propensitate prejudice,reason n propensit prejudic
Ambrose Gwinett Bierce,"RAPACITY, n. Providence without industry. The thrift of power.",RAPACITY n Providence without industry thrift power,RAPACITY n Providence without industry thrift power,rapac n provid without industri thrift power
Ambrose Gwinett Bierce,"COMPULSION, n. The eloquence of power.",COMPULSION n eloquence power,COMPULSION n eloquence power,compuls n eloqu power
Ambrose Gwinett Bierce,"KISS, n. A word invented by the poets as a rhyme for bliss. It is supposed to signify, in a general way, some kind of rite or ceremony appertaining to a good understanding; but the manner of its performance is unknown to this lexicographer.",KISS n word invented poets rhyme bliss supposed signify general way kind rite ceremony appertaining good understanding manner performance unknown lexicographer,KISS n word invent poet rhyme bliss suppose signify general way kind rite ceremony appertain good understand manner performance unknown lexicographer,kiss n word invent poet rhyme bliss suppos signifi general way kind rite ceremoni appertain good understand manner perform unknown lexicograph
Ambrose Gwinett Bierce,"REQUIEM, n. A mass for the dead which the minor poets assure us the winds sing o'er the graves of their favorites. Sometimes, by way of providing a varied entertainment, they sing a dirge.",REQUIEM n mass dead minor poets assure us winds sing er graves favorites Sometimes way providing varied entertainment sing dirge,REQUIEM n mass dead minor poet assure u wind sing er grave favorite Sometimes way provide vary entertainment sing dirge,requiem n mass dead minor poet assur u wind sing er grave favorit sometim way provid vari entertain sing dirg
Ambrose Gwinett Bierce,"PLEASURE, n. The least hateful form of dejection.",PLEASURE n least hateful form dejection,PLEASURE n least hateful form dejection,pleasur n least hate form deject
Ambrose Gwinett Bierce,To bother about the best method of accomplishing an accidental result.,bother best method accomplishing accidental result,bother best method accomplish accidental result,bother best method accomplish accident result
Ambrose Gwinett Bierce,"PERIPATETIC, adj. Walking about. Relating to the philosophy of Aristotle, who, while expounding it, moved from place to place in order to avoid his pupil's objections. A needless precaution --they knew no more of the matter than he.",PERIPATETIC adj Walking Relating philosophy Aristotle expounding moved place place order avoid pupil objections needless precaution knew matter,PERIPATETIC adj Walking Relating philosophy Aristotle expound move place place order avoid pupil objection needle precaution know matter,peripatet adj walk relat philosophi aristotl expound move place place order avoid pupil object needl precaut know matter
Ambrose Gwinett Bierce,"PYRRHONISM, n. An ancient philosophy, named for its inventor. It consisted of an absolute disbelief in everything but Pyrrhonism. Its modern professors have added that.",PYRRHONISM n ancient philosophy named inventor consisted absolute disbelief everything Pyrrhonism modern professors added,PYRRHONISM n ancient philosophy name inventor consist absolute disbelief everything Pyrrhonism modern professor add,pyrrhon n ancient philosophi name inventor consist absolut disbelief everyth pyrrhon modern professor add
Ambrose Gwinett Bierce,"Peace, in international affairs, is a period of cheating between two periods of fighting.",Peace international affairs period cheating two periods fighting,Peace international affair period cheat two period fight,peac intern affair period cheat two period fight
Ambrose Gwinett Bierce,"HATCHET, n. A young axe, known among Indians as a Thomashawk.O bury the hatchet, irascible Red, For peace is a blessing, the White Man said. The Savage concurred, and that weapon interred, With imposing rites, in the White Man's head. --John Lukkus",HATCHET n young axe known among Indians Thomashawk bury hatchet irascible Red peace blessing White Man said Savage concurred weapon interred imposing rites White Man head John Lukkus,HATCHET n young axe know among Indians Thomashawk bury hatchet irascible Red peace bless White Man say Savage concur weapon inter impose rite White Man head John Lukkus,hatchet n young axe know among indian thomashawk buri hatchet irasc red peac bless white man say savag concur weapon inter impos rite white man head john lukkus
Ambrose Gwinett Bierce,"HATCHET, n. A young axe, known among Indians as a Thomashawk.O bury the hatchet, irascible Red, For peace is a blessing, the White Man said. The Savage concurred, and that weapon interred, With imposing rites, in the White Man's head. --John Lukkus",HATCHET n young axe known among Indians Thomashawk bury hatchet irascible Red peace blessing White Man said Savage concurred weapon interred imposing rites White Man head John Lukkus,HATCHET n young axe know among Indians Thomashawk bury hatchet irascible Red peace bless White Man say Savage concur weapon inter impose rite White Man head John Lukkus,hatchet n young axe know among indian thomashawk buri hatchet irasc red peac bless white man say savag concur weapon inter impos rite white man head john lukkus
Ambrose Gwinett Bierce,"ITCH, n. The patriotism of a Scotchman.",ITCH n patriotism Scotchman,ITCH n patriotism Scotchman,itch n patriot scotchman
Ambrose Gwinett Bierce,"PATRIOTISM, n. Combustible rubbish read to the torch of anyone ambitious to illuminate his name.",PATRIOTISM n Combustible rubbish read torch anyone ambitious illuminate name,PATRIOTISM n Combustible rubbish read torch anyone ambitious illuminate name,patriot n combust rubbish read torch anyon ambiti illumin name
Ambrose Gwinett Bierce,"PATRIOTISM, n. Combustible rubbish read to the torch of any one ambitious to illuminate his name. In Dr. Johnson's famous dictionary patriotism is defined as the last resort of a scoundrel. With all due respect to an enlightened but inferior lexicographer I beg to submit that it is the first.",PATRIOTISM n Combustible rubbish read torch one ambitious illuminate name Dr Johnson famous dictionary patriotism defined last resort scoundrel due respect enlightened inferior lexicographer beg submit first,PATRIOTISM n Combustible rubbish read torch one ambitious illuminate name Dr Johnson famous dictionary patriotism define last resort scoundrel due respect enlighten inferior lexicographer beg submit first,patriot n combust rubbish read torch one ambiti illumin name dr johnson famous dictionari patriot defin last resort scoundrel due respect enlighten inferior lexicograph beg submit first
Ambrose Gwinett Bierce,"Patriotism is as fierce as a fever, pitiless as the grave, blind as a stone, and irrational as a headless hen",Patriotism fierce fever pitiless grave blind stone irrational headless hen,Patriotism fierce fever pitiless grave blind stone irrational headless hen,patriot fierc fever pitiless grave blind stone irrat headless hen
Ambrose Gwinett Bierce,"TABLE D'HOTE, n. A caterer's thrifty concession to the universal passion for irresponsibility.Old Paunchinello, freshly wed, Took Madam P. to table, And there deliriously fed As fast as he was able.I dote upon good grub, he cried, Intent upon its throatage.Ah, yes, said the neglected bride,You're in your _table d'hotage_. --Associated Poets",TABLE HOTE n caterer thrifty concession universal passion irresponsibility Old Paunchinello freshly wed Took Madam P table deliriously fed fast able dote upon good grub cried Intent upon throatage Ah yes said neglected bride _table hotage_ Associated Poets,TABLE HOTE n caterer thrifty concession universal passion irresponsibility Old Paunchinello freshly wed Took Madam P table deliriously feed fast able dote upon good grub cry Intent upon throatage Ah yes say neglect bride _table hotage_ Associated Poets,tabl hote n cater thrifti concess univers passion irrespons old paunchinello fresh wed took madam p tabl deliri feed fast abl dote upon good grub cri intent upon throatag ah yes say neglect bride _tabl hotage_ associ poet
Ambrose Gwinett Bierce,"Optimism: The doctrine that everything is beautiful, including what is ugly, everything good, especially the bad, and everything right that is wrong. ... It is hereditary, but fortunately not contagious.",Optimism doctrine everything beautiful including ugly everything good especially bad everything right wrong hereditary fortunately contagious,Optimism doctrine everything beautiful include ugly everything good especially bad everything right wrong hereditary fortunately contagious,optim doctrin everyth beauti includ ugli everyth good especi bad everyth right wrong hereditari fortun contagi
Ambrose Gwinett Bierce,"REASONABLE, adj. Accessible to the infection of our own opinions. Hospitable to persuasion, dissuasion and evasion.",REASONABLE adj Accessible infection opinions Hospitable persuasion dissuasion evasion,REASONABLE adj Accessible infection opinion Hospitable persuasion dissuasion evasion,reason adj access infect opinion hospit persuas dissuas evas
Ambrose Gwinett Bierce,"AGITATOR, n. A statesman who shakes the fruit trees of his neighbors --to dislodge the worms.",AGITATOR n statesman shakes fruit trees neighbors dislodge worms,AGITATOR n statesman shake fruit tree neighbor dislodge worm,agit n statesman shake fruit tree neighbor dislodg worm
